Buffalo,Present,Buffalo_Purchase_Date,Buffalo_Died,Buffalo_Sold_Date,Buffalo_Sold,Fresh_Buffalo / Calved_Buffalo,Reminder,Pregnancy,Test,In_Doubt,Empty_Days,Empty,OK,Pregnancy_Month,पड़ा,Doctor_Name,Month,Medicine,Calf_Born,Calf_Born Reminder,Dry_Period,Care,Calving,Days_Until_Calving,Age_in_Months,Age_in_Days,Milk_Production_Started,Milk_Production_per_Month_(Liters),Daily_Milk_Production_Morning_(Liters),Daily_Milk_Production_Evening(Liters),Total_Milk,Pregnancy_2,Empty_Buffalo_Reminder
237.0,P,,,,,2023-12-19 00:00:00,2024-02-19 00:00:00,,,,902.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
238.0,A,2022-12-11 00:00:00,,2023-11-04 00:00:00,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
239.0,P,,,,,2023-04-29 00:00:00,2023-06-29 00:00:00,2022-01-22 00:00:00,2024-03-05 00:00:00,,1136.0,,2024-03-05 00:00:00,2023-08-05 00:00:00,,dr sunil,6.5,,,1900-01-21 00:00:00,2024-03-05 00:00:00,2024-05-05 00:00:00,2024-06-05 00:00:00,733.0,34.766666666666666,1043.0,2024-06-05 00:00:00,0.0,,,0.0,2024-06-05 00:00:00,2024-09-05 00:00:00
240.0,P,,,,,,1900-02-28 00:00:00,,2024-01-14 00:00:00,,46181.0,,2024-01-14 00:00:00,2023-10-14 00:00:00,,dr gupta,2.5,,,1900-01-21 00:00:00,2024-05-14 00:00:00,2024-07-14 00:00:00,2024-08-14 00:00:00,663.0,32.43333333333333,973.0,2024-08-14 00:00:00,0.0,,,0.0,2024-08-14 00:00:00,2024-11-14 00:00:00
241.0,P,2023-03-27 00:00:00,,,,2023-03-20 00:00:00,2023-05-20 00:00:00,,2023-12-08 00:00:00,2024-03-09 00:00:00,1176.0,,2023-12-08 00:00:00,2023-10-08 00:00:00,,5,2,,,1900-01-21 00:00:00,2024-05-08 00:00:00,2024-07-08 00:00:00,2024-08-08 00:00:00,669.0,32.63333333333333,979.0,2024-08-08 00:00:00,0.0,,,0.0,2024-08-08 00:00:00,2024-11-08 00:00:00
242.0,P,,,,,2023-02-03 00:00:00,2023-04-03 00:00:00,,2023-12-08 00:00:00,,1221.0,,2023-12-08 00:00:00,2023-10-08 00:00:00,,,2,,,1900-01-21 00:00:00,2024-05-08 00:00:00,2024-07-08 00:00:00,2024-08-08 00:00:00,669.0,32.63333333333333,979.0,2024-08-08 00:00:00,0.0,,,0.0,2024-08-08 00:00:00,2024-11-08 00:00:00
243.0,p,2022-06-16 00:00:00,,,,2023-06-29 00:00:00,2023-08-29 00:00:00,,,,1075.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
244.0,P,,,,,2023-03-08 00:00:00,2023-05-08 00:00:00,,"26/9/23
7/3/24",,1188.0,,2024-03-07 00:00:00,2022-12-07 00:00:00,,dr sunil,4.5,,,1900-01-21 00:00:00,2023-07-07 00:00:00,2023-09-07 00:00:00,2023-10-07 00:00:00,975.0,42.833333333333336,1285.0,2023-10-07 00:00:00,0.0,,,0.0,2023-10-07 00:00:00,2024-01-07 00:00:00
245.0,A,2022-12-11 00:00:00,,2023-12-16 00:00:00,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
246.0,A,,,,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
247.0,P,,,,,2023-12-03 00:00:00,2024-02-03 00:00:00,,,,918.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
248.0,A,2022-12-11 00:00:00,,2023-09-16 00:00:00,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
249.0,P,,,,,2024-03-17 00:00:00,2024-05-17 00:00:00,,,,813.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
250.0,P,,,,,2023-08-10 00:00:00,2023-10-10 00:00:00,,2023-12-17 00:00:00,,1033.0,,2023-12-17 00:00:00,2023-08-17 00:00:00,,,4,,,1900-01-21 00:00:00,2024-03-17 00:00:00,2024-05-17 00:00:00,2024-06-17 00:00:00,721.0,34.36666666666667,1031.0,2024-06-17 00:00:00,0.0,,,0.0,2024-06-17 00:00:00,2024-09-17 00:00:00
251.0,P,,,,,2024-04-10 00:00:00,2024-06-10 00:00:00,,,,789.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
252.0,p,,,,,2023-08-24 00:00:00,2023-10-24 00:00:00,2023-10-17 00:00:00,,,1019.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
253.0,P,,,,,2023-08-24 00:00:00,2023-10-24 00:00:00,,2024-03-10 00:00:00,,1019.0,,2024-03-10 00:00:00,2023-09-10 00:00:00,,dr sinil,6,,,1900-01-21 00:00:00,2024-04-10 00:00:00,2024-06-10 00:00:00,2024-07-10 00:00:00,698.0,33.6,1008.0,2024-07-10 00:00:00,0.0,,,0.0,2024-07-10 00:00:00,2024-10-10 00:00:00
254.0,p,,,,,2023-09-23 00:00:00,2023-11-23 00:00:00,,,,989.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
255.0,A,,,,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
256.0,A,,,,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
257.0,p,2023-08-22 00:00:00,,,,2023-08-22 00:00:00,2023-10-22 00:00:00,,,,1021.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
258.0,A,,,,,,1900-02-28 00:00:00,,,,46181.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
259.0,p,,,,,2023-09-07 00:00:00,2023-11-07 00:00:00,,,,1005.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
260.0,p,,,,,2023-02-19 00:00:00,2023-04-19 00:00:00,,,,1205.0,,,00:00:00,,,                                                                                  ,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
261.0,A,,,2024-02-23 00:00:00,,2023-09-06 00:00:00,2023-11-06 00:00:00,,,,1006.0,,,00:00:00,,,,,,1900-01-21 00:00:00,1900-07-31 00:00:00,1900-10-01 00:00:00,1900-10-31 00:00:00,45876.0,1539.5333333333333,46186.0,1900-10-31 00:00:00,0.0,,,0.0,1900-10-31 00:00:00,1901-01-31 00:00:00
